순번,"매입형
/건축형",지역본부,관리부서,명,주소,호수,"전용
면적(㎡)","주거공용
면적(㎡)",면적계(㎡),공급형,성별전용, 임대보증금(원) , 월임대료(원) ,주택열람일정,관리비
18,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,504,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
19,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,505,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
20,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,601,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
21,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,602,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
22,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,603,21.17,17.75,38.92,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
23,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,604,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
24,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,605,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
25,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,704,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
26,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,705,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
27,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,801,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
28,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,802,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
29,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,803,18.43,14.28,32.71,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
30,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,804,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
31,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,805,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
32,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,901,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
33,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,902,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
34,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,903,18.43,14.28,32.71,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
35,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,904,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
36,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,905,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
37,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1001,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
38,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1002,18.13,14.07,32.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
39,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1003,18.43,14.28,32.71,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
40,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1102,24.89,19.31,44.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
41,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1103,31.1,28.83,59.93,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
42,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1201,28.54,22.07,50.61,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
43,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1202,24.89,19.31,44.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
44,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1203,31.1,28.83,59.93,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
45,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1301,28.54,22.07,50.61,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
46,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1302,24.89,19.31,44.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
47,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1303,31.1,28.83,59.93,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
48,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1401,28.54,22.07,50.61,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
49,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1402,24.89,19.31,44.2,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
50,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,1403,31.1,28.83,59.93,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
51,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,302,18.59,17.8,36.39,단독(1인),남여공용,"2,000,000","503,580",열람불가(계약전 주택개방),
52,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,303,16.88,15.98,32.86,단독(1인),남여공용,"2,000,000","463,520",열람불가(계약전 주택개방),
53,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,304,18.59,17.8,36.39,단독(1인),남여공용,"2,000,000","503,580",열람불가(계약전 주택개방),
54,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,305,17.8,16.77,34.57,단독(1인),남여공용,"2,000,000","477,880",열람불가(계약전 주택개방),
55,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,402,18.59,17.8,36.39,단독(1인),남여공용,"2,000,000","503,580",열람불가(계약전 주택개방),
56,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,403,16.88,15.98,32.86,단독(1인),남여공용,"2,000,000","463,520",열람불가(계약전 주택개방),
57,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,404,18.59,17.8,36.39,단독(1인),남여공용,"2,000,000","503,580",열람불가(계약전 주택개방),
58,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,502,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","437,700",열람불가(계약전 주택개방),
59,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,503,14.4,12.68,27.08,단독(1인),남여공용,"2,000,000","423,670",열람불가(계약전 주택개방),
60,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,504,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","437,700",열람불가(계약전 주택개방),
61,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,505,14,12.32,26.32,단독(1인),남여공용,"2,000,000","429,050",열람불가(계약전 주택개방),
62,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,602,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","437,700",열람불가(계약전 주택개방),
63,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,603,14.4,12.68,27.08,단독(1인),남여공용,"2,000,000","423,670",열람불가(계약전 주택개방),
64,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,604,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","437,700",열람불가(계약전 주택개방),
65,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,605,14,12.32,26.32,단독(1인),남여공용,"2,000,000","429,050",열람불가(계약전 주택개방),
66,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,702,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","437,700",열람불가(계약전 주택개방),
67,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,703,14.4,12.68,27.08,단독(1인),남여공용,"2,000,000","423,670",열람불가(계약전 주택개방),
68,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,704,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","437,700",열람불가(계약전 주택개방),
69,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,705,14,12.32,26.32,단독(1인),남여공용,"2,000,000","429,050",열람불가(계약전 주택개방),
70,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,802,14.27,12.57,26.84,단독(1인),남여공용,"2,000,000","433,240",열람불가(계약전 주택개방),
71,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,803,14.4,12.68,27.08,단독(1인),남여공용,"2,000,000","419,130",열람불가(계약전 주택개방),
72,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,804,28.68,25.2,53.88,단독(1인),남여공용,"2,000,000","790,310",열람불가(계약전 주택개방),
73,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,203,23.13,7.99,31.12,단독(1인),남여공용,"2,000,000","459,670",열람불가(계약전 주택개방),
74,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,204,23.6,8.35,31.95,단독(1인),남여공용,"2,000,000","467,390",열람불가(계약전 주택개방),
75,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,303,23.13,7.99,31.12,단독(1인),남여공용,"2,000,000","463,820",열람불가(계약전 주택개방),
76,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,304,23.6,8.35,31.95,단독(1인),남여공용,"2,000,000","472,080",열람불가(계약전 주택개방),
77,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,403,21.24,7.55,28.79,단독(1인),남여공용,"2,000,000","436,250",열람불가(계약전 주택개방),
78,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,404,21.74,7.88,29.62,단독(1인),남여공용,"2,000,000","444,790",열람불가(계약전 주택개방),
79,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,503,17.1,5.89,22.99,단독(1인),남여공용,"2,000,000","362,250",열람불가(계약전 주택개방),
80,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동) 더 메인즈빌,504,17.59,6.23,23.82,단독(1인),남여공용,"2,000,000","375,660",열람불가(계약전 주택개방),
81,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,202,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","675,070",열람불가(계약전 주택개방),
82,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,203,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","675,070",열람불가(계약전 주택개방),
83,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,302,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","683,590",열람불가(계약전 주택개방),
84,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,303,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","683,590",열람불가(계약전 주택개방),
85,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,402,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","683,590",열람불가(계약전 주택개방),
86,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,403,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","683,590",열람불가(계약전 주택개방),
87,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,502,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","675,070",열람불가(계약전 주택개방),
88,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,503,27.77,4.6,32.37,단독(1인),남여공용,"2,000,000","675,070",열람불가(계약전 주택개방),
89,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동) 위너시원,504,26.56,4.4,30.96,단독(1인),남여공용,"2,000,000","615,760",열람불가(계약전 주택개방),
90,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,301,18.4,0,18.4,단독(1인),남여공용,"2,000,000","392,480",열람불가(계약전 주택개방),
91,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,302,17.64,0,17.64,단독(1인),남여공용,"2,000,000","374,330",열람불가(계약전 주택개방),
92,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,303,18.26,0,18.26,단독(1인),남여공용,"2,000,000","388,000",열람불가(계약전 주택개방),
93,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,304,18.26,0,18.26,단독(1인),남여공용,"2,000,000","388,000",열람불가(계약전 주택개방),
94,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,305,17.94,0,17.94,단독(1인),남여공용,"2,000,000","385,490",열람불가(계약전 주택개방),
95,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,306,20.08,0,20.08,단독(1인),남여공용,"2,000,000","413,790",열람불가(계약전 주택개방),
96,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,307,18.45,0,18.45,단독(1인),남여공용,"2,000,000","388,210",열람불가(계약전 주택개방),
97,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,308,23.37,0,23.37,단독(1인),남여공용,"2,000,000","478,010",열람불가(계약전 주택개방),
98,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,401,18.4,0,18.4,단독(1인),남여공용,"2,000,000","392,480",열람불가(계약전 주택개방),
99,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,402,17.64,0,17.64,단독(1인),남여공용,"2,000,000","374,330",열람불가(계약전 주택개방),
100,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,403,18.26,0,18.26,단독(1인),남여공용,"2,000,000","388,000",열람불가(계약전 주택개방),
101,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,404,18.26,0,18.26,단독(1인),남여공용,"2,000,000","388,000",열람불가(계약전 주택개방),
102,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,405,17.94,0,17.94,단독(1인),남여공용,"2,000,000","385,490",열람불가(계약전 주택개방),
103,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,406,20.08,0,20.08,단독(1인),남여공용,"2,000,000","413,790",열람불가(계약전 주택개방),
104,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,407,18.45,0,18.45,단독(1인),남여공용,"2,000,000","388,210",열람불가(계약전 주택개방),
105,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,408,23.37,0,23.37,단독(1인),남여공용,"2,000,000","478,010",열람불가(계약전 주택개방),
106,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,501,18.4,0,18.4,단독(1인),남여공용,"2,000,000","396,820",열람불가(계약전 주택개방),
107,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,502,17.64,0,17.64,단독(1인),남여공용,"2,000,000","378,660",열람불가(계약전 주택개방),
108,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,503,18.26,0,18.26,단독(1인),남여공용,"2,000,000","392,330",열람불가(계약전 주택개방),
109,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,504,18.26,0,18.26,단독(1인),남여공용,"2,000,000","392,330",열람불가(계약전 주택개방),
110,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,505,17.94,0,17.94,단독(1인),남여공용,"2,000,000","389,830",열람불가(계약전 주택개방),
111,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,506,20.08,0,20.08,단독(1인),남여공용,"2,000,000","418,130",열람불가(계약전 주택개방),
112,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,507,18.45,0,18.45,단독(1인),남여공용,"2,000,000","392,540",열람불가(계약전 주택개방),
113,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,508,23.37,0,23.37,단독(1인),남여공용,"2,000,000","482,340",열람불가(계약전 주택개방),
114,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,601,18.4,0,18.4,단독(1인),남여공용,"2,000,000","396,820",열람불가(계약전 주택개방),
115,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,602,17.64,0,17.64,단독(1인),남여공용,"2,000,000","378,660",열람불가(계약전 주택개방),
116,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,603,18.26,0,18.26,단독(1인),남여공용,"2,000,000","392,330",열람불가(계약전 주택개방),
117,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,604,18.26,0,18.26,단독(1인),남여공용,"2,000,000","392,330",열람불가(계약전 주택개방),
118,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,605,17.94,0,17.94,단독(1인),남여공용,"2,000,000","389,830",열람불가(계약전 주택개방),
119,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,606,20.08,0,20.08,단독(1인),남여공용,"2,000,000","418,130",열람불가(계약전 주택개방),
120,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,607,18.45,0,18.45,단독(1인),남여공용,"2,000,000","392,540",열람불가(계약전 주택개방),
121,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,608,23.37,0,23.37,단독(1인),남여공용,"2,000,000","482,340",열람불가(계약전 주택개방),
122,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,701,18.4,0,18.4,단독(1인),남여공용,"2,000,000","396,820",열람불가(계약전 주택개방),
123,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,702,17.64,0,17.64,단독(1인),남여공용,"2,000,000","378,660",열람불가(계약전 주택개방),
124,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동) ,703,18.26,0,18.26,단독(1인),남여공용,"2,000,000","392,330",열람불가(계약전 주택개방),
